DKProTCInstanceID	FrequencyOfBekommenGruppe	FrequencyOfPassiveSentences	FrequencyOfPassiveWithAdjective	FrequencyOfPassiveWithImpersonalPronoun	FrequencyOfPassiveWithSichLassen	FrequencyOfPassiveWithZu	FrequencyOfTypicalPassive	NrofChars	NrofSentences	NrofTokens	NrofTokensPerSentence	TokLenRatio	avgNumCharsSent	avgNumCharsToken	frequencyOfAllSuffixes	frequencyOfHEIT	frequencyOfIE	frequencyOfKEIT	frequencyOfMENT	frequencyOfMUS	frequencyOfNIS	frequencyOfPrepositionalPhrase	frequencyOfSCHAFT	frequencyOfTION	frequencyOfTUM	frequencyOfT�u164T	frequencyOfUNG	nrOfSpellingMistakes	standardDevCharsPerSentence	standardDevCharsPerToken	standardDevTokensPerSentence	outcome
25	0	0.615385	0.153846	0.230769	0	0	0.230769	1593	13	254	19.538462	1	121.615385	5.65	0.28	0.02	0	0.02	0.06	0.02	0	0.088889	0	0	0	0	0.16	0.07874	42.085149	3.634671	6.295485	4
26	0.066667	0.466667	0	0.066667	0	0	0.333333	1637	15	251	16.733333	1	108.2	5.923729	0.38	0.02	0.04	0	0	0	0	0.081481	0.02	0.02	0	0	0.28	0.079681	42.923498	4.18463	6.627887	4
27	0.5	2	0	0	0	0.5	1	1366	2	197	98.5	1	682.5	6.123077	0.255814	0	0	0	0.023256	0	0	0.075269	0	0	0	0	0.232558	0.116751	465.5	4.56129	67.5	3
28	0	0	0	0	0	0	0	4	1	1	1	0.102564	4	4	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	0	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	1	0	0	0	1
29	0.076923	0.692308	0	0.384615	0	0.153846	0.076923	1085	13	199	15.307692	1	82.538462	4.833333	0.081081	0	0	0	0	0	0	0.045872	0	0.027027	0	0	0.054054	0.105528	32.876495	2.985479	6.206505	3
30	0.058824	0.470588	0	0.235294	0	0.058824	0.117647	1681	17	296	17.411765	1	97.941176	5.093525	0.418605	0.023256	0.023256	0	0	0	0	0.065359	0	0	0	0	0.372093	0.060811	41.408255	3.690143	6.962579	3
31	0.222222	1.888889	0.111111	0.444444	0.111111	0.333333	0.666667	1931	9	327	36.333333	1	213.666667	5.13522	0.327869	0	0.032787	0	0	0	0.032787	0.082278	0	0.032787	0	0	0.229508	0.076453	96.752835	3.222945	15.121728	4
32	0.111111	0.444444	0	0	0	0.222222	0.111111	1928	9	294	32.666667	1	213.333333	5.810526	0.27451	0	0.019608	0.019608	0	0	0	0.065789	0	0.039216	0	0	0.196078	0.095238	70.977305	3.723688	9.475114	5
33	0	0.25	0.0625	0.1875	0	0	0	1332	16	229	14.3125	1	82.3125	5.228972	0.232558	0	0	0	0.023256	0	0	0.032	0	0	0	0	0.209302	0.091703	39.140322	3.23227	7.006414	4
34	0.25	0.833333	0	0.083333	0	0.25	0.25	1534	12	255	21.25	1	126.916667	5.333333	0.275862	0.017241	0.017241	0.034483	0	0	0	0.098592	0.051724	0.017241	0	0	0.137931	0.090196	65.035193	3.351801	10.512889	5
35	0	0.428571	0	0	0	0.285714	0.142857	910	7	141	20.142857	1	129.142857	5.850746	0.3125	0.09375	0	0	0	0	0	0.094595	0	0	0	0	0.21875	0.099291	45.07273	4.213531	7.099871	2
36	0	1.5	0	0.5	0	0.5	0.5	913	2	151	75.5	1	456	5.234899	0.15625	0	0	0.03125	0	0	0.03125	0.145161	0	0	0	0	0.09375	0.099338	333	3.684521	55.5	2
37	0	2.5	0.5	0.5	0	1	0.5	1353	2	209	104.5	1	676	5.661836	0.428571	0	0.028571	0	0.028571	0	0.028571	0.142857	0	0	0	0	0.342857	0.114833	312	3.821076	45.5	2
38	0	0.461538	0	0.076923	0	0.076923	0.307692	1374	13	238	18.307692	1	104.769231	5.151111	0.25	0.027778	0	0	0	0	0	0.061404	0	0	0	0	0.222222	0.071429	52.249628	3.285566	8.800215	4
39	0	0.75	0	0.166667	0	0.166667	0.416667	1410	12	225	18.75	1	116.583333	5.633803	0.317073	0	0	0	0	0	0.04878	0.083333	0	0.04878	0	0	0.219512	0.093333	55.472904	3.626608	8.642193	4
40	0.083333	0.916667	0.083333	0.166667	0	0.25	0.333333	1682	12	278	23.166667	1	139.25	5.368421	0.2	0	0	0	0	0	0	0.051471	0	0.066667	0	0	0.133333	0.086331	63.113819	3.864186	10.422998	3
41	0	0.333333	0	0	0	0.166667	0.166667	435	6	86	14.333333	1	71.666667	4.544304	0	0	0	0	0	0	0	0.021277	0	0	0	0	0	0.093023	24.904261	2.786938	4.955356	0
42	0	0.75	0	0.125	0	0.25	0.375	1724	8	269	33.625	1	214.625	5.791339	0.217391	0	0	0	0	0	0	0.063492	0	0.152174	0	0	0.065217	0.130112	277.440506	3.972316	43.686203	3
43	0.055556	0.444444	0.055556	0.111111	0	0.111111	0.111111	1416	18	246	13.666667	1	77.722222	5.223684	0.3	0	0	0	0	0.025	0	0.041667	0	0	0	0	0.275	0.052846	29.156294	3.547665	6.027714	2
44	0.2	0.7	0	0	0	0.2	0.3	1590	10	279	27.9	1	158.1	4.988848	0.283019	0	0	0.037736	0	0	0	0.093525	0	0.056604	0	0	0.188679	0.089606	81.189223	3.436609	14.439183	4
45	0	0.5	0.142857	0.071429	0	0.071429	0.214286	1626	14	247	17.642857	1	115.214286	6.025862	0.176471	0.039216	0	0	0.039216	0	0	0.09375	0	0	0	0	0.098039	0.093117	39.453732	3.87067	5.714732	3
46	0.076923	0.384615	0	0.076923	0	0.076923	0.153846	1695	13	274	21.076923	1	129.461538	5.521073	0.218182	0	0	0.018182	0.036364	0	0	0.108844	0	0.036364	0	0	0.127273	0.091241	48.396782	3.393217	7.975554	4
47	0	3	0	1	0	1	1	1227	1	198	198	1	1227	5.42132	0.28	0	0	0	0.04	0	0	0.03125	0	0	0	0	0.24	0.065657	0	3.893265	0	2
48	0.058824	0.529412	0	0.176471	0.058824	0	0.235294	1871	17	297	17.470588	1	109.117647	5.682143	0.344828	0.034483	0	0	0	0	0.017241	0.08125	0	0	0	0	0.293103	0.10101	38.720541	3.696867	6.527027	4
49	0.058824	0.529412	0.058824	0.058824	0	0.176471	0.176471	1990	17	319	18.764706	1	116.117647	5.60596	0.345455	0.054545	0	0.054545	0	0	0.018182	0.056497	0	0.036364	0	0	0.181818	0.0721	60.326448	3.506904	10.102588	3
50	0.166667	0.583333	0	0.083333	0	0.25	0.083333	1581	12	272	22.666667	1	130.833333	5.115385	0.125	0.020833	0	0	0.020833	0	0.020833	0.076389	0	0.020833	0	0	0.041667	0.073529	38.988959	3.3262	7.553513	3
51	0.066667	0.533333	0	0.133333	0	0.066667	0.266667	1883	15	311	20.733333	1	124.6	5.378378	0.157895	0	0	0	0	0	0.052632	0.07362	0	0	0	0	0.105263	0.080386	58.891765	3.324572	9.419601	3
52	0.133333	0.666667	0.133333	0	0	0.2	0.2	1536	15	260	17.333333	1	101.466667	5.344262	0.23913	0	0	0.021739	0	0	0	0.057971	0	0.043478	0	0	0.173913	0.107692	38.920203	3.651343	6.953816	3
53	0.157895	1.105263	0.052632	0.578947	0	0.157895	0.157895	1694	19	295	15.526316	1	88.210526	5.152727	0.382979	0	0	0.021277	0	0	0.085106	0.018519	0	0	0	0	0.276596	0.071186	31.553762	3.289424	5.761656	4
54	0	0	0	0	0	0	0	4	1	1	1	0.102564	4	4	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	0	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	1	0	0	0	0
55	0	1	0	0.428571	0	0.357143	0.214286	1486	14	244	17.428571	1	105.214286	5.447826	0.457143	0	0.028571	0	0	0	0.028571	0.098485	0	0.028571	0	0	0.371429	0.106557	35.30718	3.284267	5.851914	2
56	0.25	0.666667	0.083333	0.083333	0	0.083333	0.166667	1919	12	310	25.833333	1	159	5.503378	0.183099	0.014085	0	0	0	0	0.028169	0.078313	0.014085	0.014085	0	0	0.112676	0.119355	101.640707	3.061309	15.464116	2
57	0	0.857143	0	0	0	0.285714	0.571429	1731	7	235	33.571429	1	246.428571	6.660793	0.301587	0	0.015873	0	0.015873	0	0.015873	0.134454	0	0.063492	0	0	0.190476	0.13617	115.64707	4.735693	15.398118	5
58	0.071429	0.928571	0.071429	0.428571	0	0.285714	0.071429	1378	14	249	17.785714	1	97.5	4.935345	0.372093	0	0	0	0	0	0.046512	0.053435	0	0	0	0	0.325581	0.068273	64.638279	3.208307	11.638474	3
59	0.111111	0.666667	0.111111	0	0	0	0.444444	1401	9	234	26	1	154.777778	5.271111	0.23913	0.021739	0	0	0	0	0	0.066667	0	0.021739	0	0	0.195652	0.059829	82.151321	3.290702	14.452989	3
60	0	0	0	0	0	0	0	71	1	11	11	1	71	7.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181818	0	5.048205	0	0
61	0.071429	0.5	0	0.285714	0	0.071429	0.071429	1333	14	232	16.571429	1	94.285714	5.123853	0.352941	0.117647	0	0	0.058824	0	0	0.04065	0	0.029412	0	0	0.147059	0.073276	32.622141	3.109364	5.354761	4
62	0	1	0.2	0	0	0.6	0.2	982	5	163	32.6	1	195.6	5.254777	0.105263	0	0	0	0	0	0	0.012821	0	0.105263	0	0	0	0.07362	199.247183	3.719298	33.475962	2
63	0	0.6	0	0.3	0	0.2	0.1	1274	10	213	21.3	1	126.5	5.336634	0.282051	0.025641	0	0.051282	0	0	0	0.068966	0	0.025641	0	0	0.179487	0.112676	31.534901	3.433317	6.753518	3
64	0	0.571429	0	0.142857	0	0.285714	0.142857	1148	7	187	26.714286	1	163.142857	5.359551	0.354839	0.064516	0	0	0.032258	0	0	0.102273	0	0.064516	0	0	0.193548	0.085561	43.08274	3.722833	8.580947	4
65	0.083333	1	0.166667	0	0	0.333333	0.416667	1947	12	290	24.166667	1	161.333333	6.017986	0.268657	0.029851	0	0.014925	0.014925	0	0	0.093333	0	0.059701	0	0	0.149254	0.065517	51.18485	4.106895	8.344992	4
66	0	0.444444	0	0	0.111111	0.111111	0.222222	1321	9	203	22.555556	1	145.888889	5.88601	0.317073	0	0.02439	0	0	0	0	0.095238	0	0	0	0	0.292683	0.1133	50.866807	4.250871	6.701759	4
67	0	0	0	0	0	0	0	4	1	1	1	0.102564	4	4	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	0	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	1	0	0	0	0
68	0.071429	0.714286	0	0.285714	0	0	0.357143	1614	14	266	19	1	114.357143	5.428571	0.211538	0.076923	0	0.019231	0	0	0	0.071429	0	0.038462	0	0	0.076923	0.086466	44.026951	3.308068	6.866066	3
69	0	1.2	0	0.6	0	0.1	0.5	1524	10	281	28.1	1	151.5	4.72963	0.368421	0.052632	0	0.026316	0	0	0	0.069767	0	0.026316	0	0	0.263158	0.046263	66.609684	2.985932	12.7236	4
70	0.083333	0.583333	0	0.416667	0	0.083333	0	1956	12	308	25.666667	1	162.083333	5.649485	0.328358	0.044776	0	0	0	0	0.059701	0.063694	0	0.044776	0	0	0.179104	0.12013	58.162786	3.663814	9.698224	3
71	0	0.470588	0.058824	0.235294	0	0.117647	0.058824	1592	17	267	15.705882	1	92.705882	5.365462	0.309524	0.02381	0	0.047619	0	0	0	0.080537	0	0.02381	0	0	0.214286	0.052434	46.834835	3.704845	7.465723	5
72	0	2	0	1	0	1	0	964	1	147	147	1	964	5.693878	0.212121	0	0	0	0	0	0	0.131148	0	0.030303	0	0	0.181818	0.122449	0	4.050048	0	1
73	0	1	0.111111	0.222222	0	0.222222	0.444444	1489	9	232	25.777778	1	164.555556	5.735426	0.380952	0	0	0	0.02381	0	0.047619	0.039683	0	0	0	0	0.309524	0.064655	58.13798	4.103695	7.996913	4
74	0	0.6	0	0.2	0	0.4	0	814	5	142	28.4	1	162	5.097015	0.173913	0	0	0	0	0	0	0.088235	0	0.043478	0	0	0.130435	0.070423	115.049555	3.634144	18.884915	2
75	0	0	0	0	0	0	0	4	1	1	1	0.102564	4	4	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	0	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	1	0	0	0	0
76	0	0.454545	0	0.090909	0	0.181818	0.181818	1669	11	272	24.727273	1	150.818182	5.448276	0.37037	0.018519	0	0.037037	0	0	0.037037	0.060403	0.018519	0.037037	0	0	0.222222	0.080882	56.915916	3.563626	10.252192	3
77	0.076923	1	0.153846	0.307692	0	0.153846	0.307692	1492	13	248	19.076923	1	113.846154	5.378723	0.26087	0.130435	0	0.021739	0	0	0	0.070866	0.021739	0	0	0	0.086957	0.080645	48.871647	3.297513	8.668791	4
78	0	0.571429	0	0	0	0.428571	0.142857	855	7	138	19.714286	1	121.285714	5.572519	0.346154	0.153846	0	0	0	0	0	0.101449	0	0	0	0	0.192308	0.072464	54.038913	4.096229	7.362342	3
79	0	0.333333	0	0.111111	0	0.222222	0	1347	9	233	25.888889	1	148.777778	5.117117	0.27907	0.046512	0	0.046512	0	0	0	0.082569	0	0	0	0	0.186047	0.064378	70.064697	3.243118	14.594097	4
80	0	0.25	0	0.25	0	0	0	1106	20	197	9.85	1	54.35	5.19774	0.117647	0	0	0.029412	0	0	0	0.079646	0	0	0	0	0.088235	0.096447	27.127984	3.250449	4.003436	1
81	0	0.5	0	0	0	0.2	0.3	1265	10	193	19.3	1	125.6	5.918033	0.288889	0.044444	0	0.022222	0	0	0.022222	0.064815	0	0.022222	0	0	0.177778	0.093264	54.532926	3.97105	8.258935	5
82	0	1.75	0	0.25	0	0.75	0.75	1190	4	195	48.75	1	296.75	5.3	0.275862	0.068966	0	0.034483	0	0	0	0.130952	0	0	0	0	0.172414	0.128205	183.021003	3.726082	28.163585	2
83	0.133333	0.666667	0	0.133333	0	0.133333	0.266667	1488	15	244	16.266667	1	98.266667	5.515284	0.311111	0	0	0.044444	0	0	0	0.052239	0	0.044444	0	0	0.222222	0.069672	48.925067	3.275686	7.066038	3
84	0.25	0.375	0	0	0	0.125	0	1269	8	208	26	1	157.75	5.405	0.190476	0	0	0	0	0	0	0.055556	0	0.119048	0	0	0.071429	0.086538	97.388077	3.589008	17.153717	3
85	0	0.352941	0.117647	0.176471	0	0.058824	0	1223	17	202	11.882353	1	71	5.556757	0.257143	0	0	0.028571	0	0	0	0.034783	0	0.028571	0	0	0.2	0.10396	27.448347	3.438773	4.470588	4
86	0.222222	0.555556	0.111111	0	0	0	0.222222	1457	9	225	25	1	161	5.804651	0.270833	0.020833	0	0.020833	0	0	0.041667	0.086207	0	0	0	0	0.1875	0.102222	112.887358	3.786018	15.719768	4
87	0.090909	0.636364	0	0.363636	0	0	0.181818	1560	11	267	24.272727	1	140.909091	5.128405	0.2	0.06	0	0	0	0	0	0.085271	0	0	0	0	0.14	0.11236	50.494742	3.375791	9.333137	4
88	0.333333	1.5	0	0.5	0	0.333333	0.333333	1392	6	225	37.5	1	231.166667	5.451613	0.314286	0.085714	0	0	0	0	0	0.072072	0	0.028571	0	0	0.2	0.102222	79.222086	3.55454	12.325448	4
89	0	0.333333	0.055556	0.222222	0	0	0.055556	1297	18	215	11.944444	1	71.111111	5.517766	0.136364	0	0	0.045455	0	0	0.045455	0.045455	0	0.022727	0	0	0.022727	0.106977	19.974675	3.359348	3.170563	2
90	0	1	0	0.333333	0	0.333333	0.333333	2243	3	418	139.333333	1	747	4.648101	0.14	0	0	0	0	0	0	0.065089	0.02	0.02	0	0	0.1	0.119617	806.408085	2.620313	152.011695	2
91	0	1	0	0	0	0.333333	0.666667	697	3	103	34.333333	1	231.666667	6.040816	0.4	0	0	0	0	0	0.05	0.081633	0	0.05	0	0	0.3	0.203883	102.340391	3.862215	16.858891	2
92	0	0.6	0	0	0	0.4	0.2	1202	5	179	35.8	1	239.6	5.965116	0.34375	0	0	0	0.0625	0	0	0.058824	0	0	0	0	0.28125	0.111732	113.332431	3.835112	16.773789	2
93	0	1.25	0	0.25	0.25	0.25	0.5	1260	4	217	54.25	1	314.25	5.023697	0.268293	0	0	0.04878	0	0	0	0.14433	0	0.02439	0	0	0.195122	0.105991	165.115679	3.132827	30.218992	3
94	0	0.35	0.05	0.2	0	0.05	0.05	1464	20	265	13.25	1	72.25	4.991837	0.175	0.025	0	0	0	0	0	0.051471	0	0.025	0	0	0.125	0.120755	39.180193	3.216021	6.847445	2
95	0.266667	0.733333	0.066667	0.133333	0	0.133333	0.133333	1468	15	263	17.533333	1	96.933333	4.975709	0.266667	0	0	0.022222	0	0	0.044444	0.034722	0	0.022222	0	0	0.177778	0.106464	46.42193	3.17241	7.658256	3
96	0.153846	0.384615	0	0.076923	0	0.076923	0.076923	1500	13	254	19.538462	1	114.461538	5.278008	0.333333	0	0	0	0.018519	0	0	0.110236	0	0.018519	0	0	0.296296	0.070866	36.62411	3.892952	6.344172	5
97	0	1	0.090909	0.545455	0	0.181818	0.181818	1554	11	279	25.363636	1	140.363636	4.94697	0.275	0	0	0.025	0.025	0	0	0.065217	0	0.025	0	0	0.2	0.0681	55.067352	3.155837	9.460662	4
98	0.1	0.3	0	0.1	0	0.1	0	1200	10	217	21.7	1	119.1	4.839806	0.071429	0	0	0	0	0	0.02381	0.096491	0	0.02381	0	0	0.02381	0.041475	46.986062	2.919397	9.726767	2
99	0	0.083333	0	0.083333	0	0	0	1209	12	211	17.583333	1	99.833333	5.090452	0.166667	0	0	0.027778	0	0	0	0.0625	0	0	0	0	0.138889	0.113744	46.999704	3.167336	7.97348	3
100	0	0.307692	0	0.076923	0	0.076923	0.153846	1252	13	227	17.461538	1	95.384615	4.859813	0.1875	0	0	0	0	0	0	0.078261	0	0.0625	0	0	0.125	0.127753	36.843825	2.930499	6.879349	3
101	0	0.833333	0	0.333333	0	0	0.5	1606	12	262	21.833333	1	132.916667	5.450199	0.255319	0.021277	0.021277	0.021277	0	0	0	0.083969	0	0	0	0	0.191489	0.045802	55.136888	3.884861	9.555394	4
102	0	1	0.153846	0.230769	0	0.307692	0.307692	2163	13	349	26.846154	1	165.461538	5.501493	0.45283	0.037736	0	0	0.018868	0	0.018868	0.09816	0	0.037736	0	0	0.339623	0.074499	65.92375	3.588435	10.726288	5
103	0	1.166667	0.166667	0.333333	0	0.166667	0.5	1696	6	256	42.666667	1	281.833333	5.860558	0.320755	0.018868	0.018868	0.037736	0	0	0	0.072	0	0.037736	0	0	0.207547	0.085938	204.988956	4.069182	29.465611	5
104	0	0.166667	0	0.083333	0	0	0.083333	1505	12	234	19.5	1	124.5	5.788288	0.210526	0.017544	0	0	0	0	0	0.072581	0	0.017544	0	0	0.175439	0.08547	54.119467	3.66813	8.251263	3
105	0	0.8	0	0	0	0.3	0.5	1345	10	237	23.7	1	133.6	5	0.315789	0	0	0	0	0	0.026316	0.104348	0	0.026316	0	0	0.263158	0.088608	54.170472	3.21776	9.757561	4
106	0.071429	0.571429	0	0.214286	0	0.071429	0.214286	1452	14	233	16.642857	1	102.785714	5.630137	0.266667	0	0.022222	0.022222	0.066667	0	0	0.05303	0	0	0	0	0.155556	0.055794	65.784473	3.610639	10.410209	4
107	0	1.111111	0	0.666667	0	0.222222	0.222222	1364	9	232	25.777778	1	150.666667	5.174888	0.243243	0	0	0.027027	0	0	0	0.070796	0	0.027027	0.027027	0	0.162162	0.086207	20.094222	3.474558	4.848316	3
108	0.058824	0.235294	0.058824	0.058824	0	0.058824	0	1313	17	231	13.588235	1	76.294118	5.135514	0.186047	0	0	0.023256	0	0	0	0.022059	0	0.023256	0	0	0.139535	0.051948	26.271803	3.02719	4.716165	4
109	0.0625	0.625	0	0.25	0	0.125	0.1875	1335	16	251	15.6875	1	82.5	4.711864	0.175	0	0	0.025	0.05	0.025	0	0.060606	0.025	0	0	0	0.05	0.063745	28.598514	3.207781	5.519497	3
110	0.2	0.266667	0	0	0	0	0.066667	1578	15	279	18.6	1	104.266667	5.003788	0.102041	0.020408	0	0	0	0	0	0.078014	0	0	0	0	0.081633	0.082437	55.066586	3.436103	9.562426	3
111	0	1.090909	0.090909	0.090909	0	0.363636	0.545455	1518	11	238	21.636364	1	137.090909	5.757709	0.155556	0	0	0.044444	0	0	0	0.03937	0	0	0	0	0.111111	0.105042	63.553062	3.820691	9.575278	4
112	0.071429	0.928571	0.071429	0.357143	0	0.142857	0.285714	1314	14	237	16.928571	1	92.928571	4.932735	0.378378	0.027027	0.027027	0	0	0	0	0.056911	0	0	0	0	0.324324	0.067511	41.580326	3.21152	8.370563	2
113	0	0.928571	0.071429	0.428571	0	0.142857	0.285714	1796	14	281	20.071429	1	127.357143	5.792453	0.315789	0.017544	0	0.017544	0	0	0.017544	0.104895	0	0.017544	0	0	0.245614	0.064057	34.360707	3.637117	6.088212	4
114	0	1	0	0.25	0	0.5	0.25	1428	4	238	59.5	1	356.25	5.246753	0.461538	0	0	0	0	0	0	0.09434	0	0	0	0	0.461538	0.109244	131.573886	3.678024	22.254213	3
115	0	0.4	0	0.2	0	0.1	0.1	1383	10	235	23.5	1	137.4	5.186667	0.268293	0	0	0	0.02439	0	0	0.114754	0	0	0	0	0.243902	0.07234	36.688418	3.108526	6.453681	3
116	0	0.916667	0	0.166667	0	0.333333	0.416667	1496	12	256	21.333333	1	123.75	5.151639	0.266667	0.022222	0.066667	0	0.022222	0	0	0.042254	0	0.022222	0	0	0.133333	0.074219	32.013344	2.929072	4.921608	4
117	0	0.166667	0	0.083333	0	0.083333	0	1208	12	210	17.5	1	99.75	5.147208	0.28125	0	0	0	0	0	0	0.067961	0.03125	0.0625	0	0	0.1875	0.066667	32.557961	3.02337	5.649484	3
118	0.125	0.875	0	0.125	0	0.375	0.25	975	8	166	20.75	1	121	5.163522	0.28125	0.03125	0	0	0	0	0.03125	0.032967	0	0.03125	0	0	0.1875	0.072289	53.802881	3.128032	10.377259	2
